"filename", "language", "JavaScript", "TypeScript", "HTML", "JSON with Comments", "Markdown", "JSON", "SCSS", "CSS", "Vue", "XML", "comment", "blank", "total"
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-forms\components\uni-forms-item\uni-forms-item.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 581, 0, 4, 47, 632
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-forms\components\uni-forms\uni-forms.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 375, 0, 0, 23, 398
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-forms\components\uni-forms\utils.js", "JavaScript", 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 21, 294
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-forms\components\uni-forms\validate.js", "JavaScript", 421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 65, 487
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-forms\package.json", "JSON", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 1, 89
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-forms\readme.md", "Markdown", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 11, 23
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-icons\changelog.md", "Markdown", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-icons\components\uni-icons\icons.js", "JavaScript", 1169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1170
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-icons\components\uni-icons\uni-icons.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, 4, 6, 97
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-icons\components\uni-icons\uniicons.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 498, 0, 0, 0, 166, 664
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-icons\package.json", "JSON", 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 86
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-icons\readme.md", "Markdown", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-id-common\changelog.md", "Markdown", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-id-common\package.json", "JSON", 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 1, 88
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-id-common\readme.md", "Markdown", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-id-common\uniCloud\cloudfunctions\common\uni-id-common\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-id-common\uniCloud\cloudfunctions\common\uni-id-common\package.json", "JSON", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 16
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-id-pages\changelog.md", "Markdown", 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 1, 94
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-id-pages\common\login-page.mixin.js", "JavaScript", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 89
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-id-pages\common\login-page.scss", "SCSS", 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 20, 21, 126
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-id-pages\common\password.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 86
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-id-pages\common\store.js", "JavaScript", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 11, 138
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-id-pages\components\cloud-image\cloud-image.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 2, 79
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-id-pages\components\uni-id-pages-agreements\uni-id-pages-agreements.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 158, 0, 1, 10, 169
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-id-pages\components\uni-id-pages-avatar\uni-id-pages-avatar.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 163, 0, 0, 4, 167
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-id-pages\components\uni-id-pages-bind-mobile\uni-id-pages-bind-mobile.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 153, 0, 0, 13, 166
"c:\Users\yzc\Desktop\showTheVibe\src\uni_modules\uni-id-pages\components\uni-id-pages-email-form\uni-id-pages-email-form.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 236, 0, 0, 11, 247
